id,name,kind,group,coverage,blocked_on,dial,note,covers
37,A surface that moves under it,axis,D1,condition,,10 to 15 deg tilt,"A treadmill is a test rig rather than a skill, and a see-saw and a loose plank are the same tilt dial.",38 56 144
38,Step into an unseen hole,axis,D1,emerges,,0 to 50 mm deep,"An unseen hole is exactly that - felt, not seen.",59
39,"Slopes, up, down and across",axis,D1,condition,,10 / 20 / 30 deg,"Up, down and cross-slope are one terrain dial.",63 64 65
40,A curb or single tall step,axis,D1,condition,,0 to 1 x leg length,A curb is the stair dial with one step in it.,60
41,"Stairs, up and down",axis,D1,condition,,0 to 175 mm rise,"Human stairs at a standard rise, forward or backward.",61 62 145
42,Stairs with a load or a dead servo,axis,D1,condition,,+1 / +2 kg,"Stairs are the hard case for every other dial, so the load and the dead servo get a row on top of it.",66 149
43,Payload,axis,D1,condition,,+/- 2 kg,"Centred, off-centre to 50 mm, sloshing or changing mid-walk, it is one mass dial.",67 68 69 70 71
44,"Weak, dead or under-powered servos",axis,D1,condition,,30 to 80 % torque,"One weak, two weak, one dead per joint in turn, or a flat battery are all reduced torque.",92 93 94 97
45,Get up under load or on bad ground,axis,D1,condition,,0 to 20 deg,"Getting up on gravel or a slope carrying 2 kg is R2 with D1's dials turned up, not a new skill.",146 147
46,Foot wedged or legs tangled,axis,D1,condition,,,"Wedged, tangled or standing on its own foot is a scene condition the policy has to survive.",120 123 124
47,"Walled in, or walking into a wall",axis,D1,condition,,,Chair legs and a wall are the same condition seen from outside.,121 122
48,"Handled, tugged and blown sideways",axis,D1,condition,,0 to 20 % body weight,"A leash tug, a hand on the back and a gust are all sideways force.",108 139 140
49,"Trip at speed, or anything else mid-walk",axis,D1,condition,,,"Anything carries no information and mostly it is a shove, and tripping at speed is a disturbance rather than a speed measurement.",106 158
50,"Sensor noise, drift and command delay",constraint,C1,condition,,20 / 50 / 100 ms,"IMU bias to 2 deg, noise to 3x nominal and up to 100 ms of lag are simulator honesty, not damage.",95 96
51,An impossible order,constraint,C1,condition,,,"How it behaves when asked for a blocked path or an unreachable pose is a property of every run, not a run.",125
52,Quiet running and a power-save lock,constraint,C1,condition,,,"Quiet is a penalty on effort rather than something measured afterwards, and power-save is a state rather than a movement.",134 177
53,Startup joint sweep,constraint,C1,measured,,,Every joint driven through its full range before anything else runs.,200
54,"Fall, get up, keep walking",test,T1,measured,,,"PLAN step 3's handover test - R2 stands it up, hands over, R1 walks 5 m, 100 times with no stall and no fall-loop.",109
55,Chain moves without stopping,test,T1,measured,,0 to 5 s hold,"Sprint-stop-turn-sprint, stairs to flat to stairs, a friction change mid-stride, a freeze and resume, and an emergency stop are read off, never trained.",111 112 113 114 115
56,Top speed and the speed ladder,test,T2,measured,,25 / 50 / 75 / 100 % of top,"Raise the command until it fails and write down where, per surface, per direction and per payload.",150 151 154 155 157
57,Acceleration and a sustained run,test,T2,measured,,60 s to 10 min,"Zero to top speed, then hold 80 % of it, then keep walking for ten minutes.",133 152 153
58,"Smoothness, read off the trained policy",test,T2,measured,,20 to 100 % battery,"Efficient gait at each speed, the same quality on a flat battery, and keeping an object on its back are numbers read off a policy rather than trained toward.",132 135 136
59,Jumping,parked,P1,blocked,flight,,"Every contact-gated reward term returns zero the moment all four feet leave the ground, so the airborne part needs its own reward and its own run; PLAN.md un-parks it when stage 3.3 measures real servo speed under load.",85 86 87 88 89 110 162 163 164 187 188 189 190 191 192
60,Seeing,parked,P2,blocked,camera,,"A camera the policy itself reads, plus a depth-to-heightmap pipeline and the worst sim-to-real gap on the list; reacting to an obstacle is already covered blind, only anticipating one needs eyes.",100 101 102 103 104 105 138 142 143
